sample	H9_Batch1.055	H1_Exp2.142	TB_Batch2.123	EC_Batch1.017	H9_Batch2.107	H9_Batch2.156	H1_Exp2.140	H1_Exp3.236	TB_Batch2.110	HFF_Batch2.120	DEC_Batch2.130	NPC_Batch2.151	NPC_Batch2.107	H1_Exp1.011	H1_Exp2.087	H9_Batch1.046	DEC_Batch2.124	H1_Exp1.048	DEC_Batch2.136	DEC_Batch1.052	H9_Batch2.158	EC_Batch1.018	H9_Batch2.143	H9_Batch1.029	DEC_Batch1.026	H1_Exp1.064	H9_Batch2.131	H9_Batch2.150	H1_Exp2.139	EC_Batch1.071	EC_Batch1.040	H1_Exp3.281	NPC_Batch2.094	TB_Batch2.099	HFF_Batch2.075	HFF_Batch2.077	H1_Exp1.064	H1_Exp2.091	DEC_Batch2.087	H1_Exp1.017	HFF_Batch3.142	DEC_Batch1.040	DEC_Batch1.012	HFF_Batch1.039	NPC_Batch1.086	H9_Batch2.129	NPC_Batch1.024	HFF_Batch2.056	H1_Exp2.104	HFF_Batch1.038	H9_Batch2.108	EC_Batch1.037	NPC_Batch1.051	NPC_Batch1.030	H9_Batch1.073	EC_Batch1.020	H1_Exp2.108	H1_Exp2.091	DEC_Batch1.037	NPC_Batch2.145	EC_Batch2.112	HFF_Batch3.148	DEC_Batch1.026	HFF_Batch2.054	H1_Exp2.088	H9_Batch1.006	DEC_Batch1.024	H1_Exp1.019	EC_Batch1.020	DEC_Batch2.098	HFF_Batch1.016	H1_Exp2.085	H9_Batch2.131	DEC_Batch1.026	HFF_Batch1.043	DEC_Batch1.062	H1_Exp2.153	HFF_Batch2.101	NPC_Batch1.022	NPC_Batch1.027	DEC_Batch2.102	HFF_Batch3.150	NPC_Batch2.090	DEC_Batch2.106	H1_Exp1.052	HFF_Batch1.031	H1_Exp1.007	H1_Exp2.085	H9_Batch2.131	NPC_Batch1.082	NPC_Batch1.044	H9_Batch2.151	H1_Exp3.263	H9_Batch1.080	H9_Batch2.147	NPC_Batch1.009	DEC_Batch2.095	NPC_Batch1.082	HFF_Batch1.041	H1_Exp2.152
TCP1	0.5229	0.6417	-0.9273	0.7021	0.4946	0.3254	-0.0034	0.4453	0.2266	0.1653	0.5122	-0.663	0.1316	0.3315	0.4229	0.6569	-1.0282	0.3428	0.3635	0.1009	0.0711	0.198	0.454	0.5722	-0.1054	0.1267	0.6029	0.4772	0.7196	0.6505	0.8861	0.3188	-1.3108	0.2187	0.1585	0.0407	0.1267	0.5696	0.51	-0.2164	-1.1384	0.4345	0.6009	0.4119	0.4653	0.5875	0.0694	-0.2791	0.4269	0.4738	0.5659	-2.7969	-2.6579	-0.1327	0.4061	0.514	-0.1684	0.5696	0.1984	-0.4139	-0.016	-0.8045	-0.1054	0.4047	0.0239	0.4428	-0.1703	-0.0503	0.514	-2.0251	-0.1867	0.2918	0.6029	-0.1054	0.3074	-1.812	-0.9664	-0.0044	0.5309	0.1798	0.2619	-0.5835	-0.2672	-0.4952	0.0009	-0.4384	0.0767	0.2918	0.6029	0.0618	0.4148	0.6694	0.5147	0.4899	0.3992	-0.9978	0.1601	0.0618	0.4627	0.1989
PPT1	0.5244	0.5983	-4.4097	-1.6719	0.1758	0.2942	0.4661	0.3455	0.0563	-0.3261	0.4795	0.6035	0.2209	0.2558	0.3955	0.6895	0.1919	0.4413	-0.5864	0.0762	0.4308	-2.0387	0.5393	0.4711	0.4268	0.4055	0.5005	0.2736	-1.197	0.5841	-3.0408	0.4758	-1.4024	0.3346	0.4485	-1.2312	0.4055	0.4044	0.4461	0.0845	0.4313	-0.6001	-2.24	-0.7461	0.4773	0.6208	0.2275	0.602	0.5936	-3.223	0.3749	-4.4097	-4.4097	0.3045	0.3039	-0.3447	0.3771	0.4044	0.1076	0.7181	-4.4097	0.3161	0.4268	0.4752	0.4934	0.508	0.2913	0.0914	-0.3447	-1.519	0.3795	0.2774	0.5005	0.4268	0.3336	0.2381	-0.4369	-0.3384	0.4605	0.542	-1.3532	-2.0387	0.2092	-0.9535	0.4176	-0.0068	0.1618	0.2774	0.5005	0.2237	0.3836	0.2945	0.5639	0.3022	0.5516	0.292	-0.2025	0.2237	-0.0045	0.2283
IL1RN	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965	-0.0965
CAMK2D	-2.0833	-2.0833	-0.1135	0.7194	0.3116	-0.1254	-0.3217	0.3854	0.5719	0.8165	0.5478	-0.3816	-0.2133	0.2134	-2.0833	-2.0833	-0.3217	0.4678	0.6208	-0.0528	-2.0833	0.7479	0.642	0.2135	0.7521	-2.0833	-2.0833	0.3537	-2.0833	0.9289	0.8232	0.2577	-1.0023	0.4782	0.8808	0.7534	-2.0833	-0.7168	0.8718	-0.8328	0.8187	0.5809	0.6935	0.9118	0.5042	0.5005	0.4871	0.8878	-2.0833	0.7844	0.6136	-1.0023	-2.0833	0.5429	-0.0617	0.7587	0.0343	-0.7168	0.7785	0.4743	0.7276	0.5849	0.7521	0.6641	-2.0833	-1.1883	0.7751	-0.2514	0.7587	0.5454	0.7869	-2.0833	-2.0833	0.7521	0.9194	0.6311	-2.0833	0.8993	0.6701	-0.8328	0.8158	0.7334	-0.2133	0.482	0.3171	0.8802	-0.8328	-2.0833	-2.0833	0.4088	-0.1804	-0.6301	-2.0833	0.5195	0.6249	0.4577	0.4857	0.4088	0.6696	-1.2943
UBE2C	0.6586	0.6112	-1.9125	-1.9125	0.5201	0.5621	0.4478	0.6343	0.5096	-1.9125	0.4337	0.6832	0.6666	0.5869	0.7745	0.6651	-0.4966	0.8362	0.2625	0.6616	0.4444	0.5508	0.8231	0.6919	-1.9125	0.7108	0.7003	0.7868	0.7829	-0.2893	-1.9125	0.8594	-0.329	-0.1712	-1.9125	-1.9125	0.7108	0.4113	-0.5811	0.3719	0.3388	0.7041	0.6982	-1.9125	0.6851	0.578	0.9285	-1.9125	0.5419	0.6369	0.7087	0.573	-0.2893	0.7925	0.7622	0.9497	0.4969	0.4113	0.4901	0.048	-1.9125	-1.9125	-1.9125	-0.8593	0.4757	0.5257	-1.9125	0.5	0.9497	-0.0877	-1.9125	0.5755	0.7003	-1.9125	-1.9125	0.3347	-0.5811	-1.9125	0.9784	0.6669	0.0265	-1.9125	0.5995	0.6536	0.7492	-1.1398	0.5221	0.5755	0.7003	0.7296	0.4182	0.5962	0.8088	0.3823	0.5923	0.5073	0.552	0.7296	-0.8593	0.1777
FCN3	-0.2804	-0.2804	-0.2804	1.0242	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	4.0104	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	4.0252	2.407	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	1.0242	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804	-0.2804
RNASE1	-0.4749	-0.4749	-0.4749	2.4411	1.5361	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	0.6108	-0.4749	-0.4749	-0.4749	-0.4749	2.5267	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	2.4559	2.4601	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	1.7982	-0.4749	-0.4749	-0.4749	0.6108	1.5734	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	1.2944	-0.4749	-0.4749	-0.4749	2.5192	-0.4749	1.7982	0.6108	-0.4749	2.2994	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	0.3175	-0.4749	2.5192	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	0.8975	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	-0.4749	0.8975	-0.4749	-0.4749
CXADR	0.5533	0.7777	0.5751	0.1339	0.7519	0.5306	0.5409	0.4412	0.7226	-1.5861	0.1619	0.2699	0.4557	0.5239	0.545	0.5624	0.3383	0.7221	0.5637	-0.3498	0.3936	0.3332	0.6697	0.7169	0.2913	0.453	0.6742	0.4955	0.4726	0.47	0.3354	0.7395	0.3804	0.5476	-1.6014	-1.6335	0.453	0.7691	0.2217	0.4077	-2.3538	0.3051	0.4062	-1.5283	0.4579	0.6167	0.6828	-1.3085	0.6516	-2.6709	0.7562	-1.024	-0.0133	0.5977	0.6101	-0.1298	0.2658	0.7691	0.5066	0.5418	0.2936	-2.3414	0.2913	-1.4276	0.53	0.5818	0.3487	0.4719	-0.1298	0.0265	-1.9424	0.4637	0.6742	0.2913	-1.65	-0.2751	-0.1141	-1.4607	0.5706	0.8314	0.4075	-1.7362	0.4123	0.5115	0.4018	-0.3904	0.2534	0.4637	0.6742	0.3652	0.5927	0.7191	0.7244	0.5791	0.6818	0.4088	-0.3146	0.3652	-1.8236	0.308
PDLIM1	0.5643	0.7416	0.8355	-2.643	0.4268	0.3961	0.5744	0.4956	0.6665	-0.2068	-0.4803	-2.643	-0.2281	0.3842	0.6753	0.1765	0.0276	0.2319	0.7805	0.7882	-0.0709	-0.3043	0.2549	0.314	0.6261	0.3607	0.5162	0.4374	-0.5082	-2.643	0.2145	0.691	-0.6529	0.7411	0.7598	0.268	0.3607	0.6572	0.8024	0.232	-1.7006	0.7058	0.769	0.6131	-0.1281	0.3624	-2.643	0.6277	0.5254	0.7897	0.313	0.472	-1.7006	0.1704	0.19	0.6604	0.3592	0.6572	0.7475	-1.3518	0.6273	0.6412	0.6261	0.6688	0.5775	0.6545	-0.7581	0.0536	0.6604	0.5425	0.7581	0.36	0.5162	0.6261	0.7914	0.3592	-0.0997	0.7552	-2.643	-0.9071	0.6207	0.3552	-2.643	0.7982	0.2549	0.5871	0.3006	0.36	0.5162	0.2452	0.3079	0.4978	0.2929	0.3017	0.5635	-2.643	0.5975	0.2452	0.3427	0.0705
HSPD1	0.681	1.0258	-0.3489	-0.0734	0.7776	0.3877	0.397	0.6359	0.023	-0.2604	0.6352	-0.1356	0.0498	0.2921	0.5422	0.5069	-3.3842	0.7316	0.2341	-0.1097	0.2618	-9.3338	0.6759	0.8252	-0.2656	0.3352	0.7917	0.6236	0.479	0.2958	-1.4083	1.0124	0.1093	0.6031	-0.3871	-0.2932	0.3352	0.6119	0.2306	-0.1343	-0.1915	0.1593	-0.0018	0.1981	0.2286	0.7876	0.1139	-0.0313	0.515	0.1714	0.5815	-8.0318	-0.4712	0.1027	0.4904	-0.1931	0.1889	0.6119	0.1416	-0.7631	-0.625	-1.7513	-0.2656	-0.5669	0.5237	0.5919	0.3271	0.0466	-0.1931	-0.3687	-0.7299	0.3866	0.7917	-0.2656	0.1567	0.1359	-0.6082	-0.5066	-0.1378	0.5702	-0.6147	-1.4483	-0.431	0.3553	0.1506	0.4605	-0.0164	0.3866	0.7917	-0.2758	0.2894	0.6579	0.8079	0.4322	0.9121	-0.4679	-1.1818	-0.2758	-1.0133	0.1372
SALL2	0.6311	0.8477	-1.7601	-1.7601	0.8234	0.6666	0.6571	0.4315	0.4603	-1.7601	0.7814	0.6941	0.6499	0.6678	0.7021	0.7318	-0.4291	0.7691	0.4135	-1.0375	0.1078	0.4092	0.366	0.7493	0.4475	0.6654	0.7059	0.652	0.7045	-1.7601	-1.7601	0.8265	0.4649	-1.7601	-1.7601	-1.7601	0.6654	0.6497	0.4682	0.5001	-1.7601	0.6821	0.4709	-1.7601	0.6571	0.7942	0.6415	-1.0375	0.7287	-1.7601	0.7497	-1.7601	0.4284	0.7735	0.7151	-0.2342	0.6941	0.6497	0.5768	0.0998	-1.7601	-1.0375	0.4475	-1.7601	0.7719	0.5493	0.4764	0.4576	-0.2342	-0.5085	-1.7601	0.7304	0.7059	0.4475	-1.7601	-0.6148	0.2935	-1.7601	0.6744	0.5465	0.4587	-1.7601	0.4597	0.3907	0.7018	-1.7601	0.5827	0.7304	0.7059	0.389	0.8051	0.7806	0.9152	0.4857	0.6646	0.4597	-0.77	0.389	-1.7601	0.6182
IDH1	0.6005	0.6158	-0.8579	-0.0151	0.546	0.27	0.3694	0.4009	0.6082	0.2192	0.3965	-0.5556	0.0892	-0.0014	0.3697	0.7158	0.3313	0.5964	0.6798	0.4984	0.384	0.4894	0.568	0.402	0.5394	0.2947	0.5136	0.4907	0.5233	-7.9833	0.369	0.6932	0.0711	0.0758	-0.095	0.2755	0.2947	0.4726	0.6098	-0.0973	0.0841	0.5515	0.6294	0.1741	-0.0069	0.5402	-0.2776	-0.191	0.3704	0.4701	0.5354	-3.3234	-3.8166	-0.4131	0.4526	-0.2284	0.054	0.4726	0.2519	-5.7212	-0.3467	-0.0991	0.5394	0.0501	0.5207	0.4324	0.4288	0.1599	-0.2284	0.2724	0.26	0.0651	0.5136	0.5394	-0.2485	0.1627	-0.2839	0.1085	-0.6588	0.2469	0.5887	-0.2868	-0.5197	0.3694	0.1557	0.274	-0.0337	0.0651	0.5136	-0.8533	-0.2414	0.6321	0.7149	0.6554	0.3377	-1.3975	0.2085	-0.8533	0.3538	0.031
PPP1R14C	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	4.5793	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	5.2529	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284	-0.2284
TNFRSF11B	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	1.5959	0.3371	-0.6094	-0.6094	-0.6094	0.3371	-0.6094	0.0814	-0.6094	1.2735	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	1.2904	1.234	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	2.0073	1.7342	1.234	-0.6094	-0.6094	-0.6094	1.9598	-0.6094	-0.6094	1.7623	-0.6094	-0.6094	-0.6094	1.9308	-0.6094	2.0023	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	1.4875	0.7722	-0.6094	1.7779	1.2904	1.9524	-0.6094	-0.6094	0.3371	-0.6094	-0.6094	-0.6094	2.0259	0.8137	-0.6094	1.2904	2.0807	0.4855	-0.6094	0.9946	-0.6094	-0.6094	-0.6094	1.7486	-0.6094	-0.6094	-0.6094	0.7722	1.0568	0.8137	-0.6094	-0.6094	-0.6094	-0.6094	1.4685	-0.6094	-0.6094	-0.6094	-0.6094	-0.6094	1.9671	-0.6094
TFPI	-0.9239	-0.8067	-1.0251	1.2545	0.544	-0.795	-2.2435	-2.2435	0.1289	0.898	0.8525	0.082	0.4365	-1.3905	-1.3905	-1.2484	0.1257	-2.2435	1.0993	-0.4145	-2.2435	1.068	-0.3984	-1.0911	-1.3817	0.377	0.3874	-0.7973	-0.8785	1.1287	1.0808	-1.3861	0.6691	0.754	0.9265	0.9014	0.377	-0.8975	-0.3479	-0.7364	0.615	0.6106	-0.4748	0.4841	0.7847	0.0379	0.8563	0.7935	0.4309	1.0387	-0.5208	1.1167	-0.1202	0.7312	-0.9556	1.1876	-2.2435	-0.8975	-0.2957	0.859	1.188	0.8679	-1.3817	0.733	-0.8872	0.1392	0.4559	-0.4743	1.1876	-0.2151	0.9598	-1.3905	0.3874	-1.3817	0.9927	-0.3455	-2.2435	0.8144	0.6968	1.0344	-0.1925	0.7624	0.5352	0.3147	-1.0841	0.9376	-0.9955	-1.3905	0.3874	0.616	0.6254	0.1517	-0.8056	-0.497	-0.6782	0.3211	0.2303	0.616	0.7952	-0.6562
POSTN	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	3.4478	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	3.3964	-0.3069	-0.3069	-0.3069	1.0583	-0.3069	-0.3069	4.3994	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	3.9573	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	1.857	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	2.9289	1.857	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069	-0.3069
TM4SF18	1.7712	1.4018	-0.5926	1.9388	-0.5926	0.9259	1.4166	1.3744	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	1.6573	-0.5926	1.9129	-0.5926	0.1445	-0.5926	-0.5926	-0.5926	-0.5926	0.964	2.1398	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	1.5723	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	1.5643	-0.5926	-0.5926	0.964	-0.5926	1.5064	1.8679	-0.5926	-0.5926	1.8552	2.2678	1.6596	1.5723	-0.5926	-0.5926	2.0616	-0.5926	-0.5926	-0.5926	-0.5926	1.5298	-0.5926	-0.5926	2.2678	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	1.5138	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	1.6573	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926	-0.5926
PTBP2	0.2061	0.3676	0.6673	0.6982	0.4976	0.2726	0.2898	0.2115	0.0434	0.1705	0.3467	0.4746	0.1849	0.1621	0.2213	0.2492	-1.1985	0.4592	0.5024	-0.0825	0.3901	0.6162	0.4302	0.2136	0.015	-0.0156	0.2507	0.4614	0.3501	0.2556	0.1744	0.4966	0.4018	0.0111	0.0585	-0.4364	-0.0156	0.3972	0.3019	-0.0391	-0.1292	0.0139	0.1348	0.3053	0.4031	0.1729	0.4667	0.1902	0.1754	0.4752	0.5656	-0.9049	-0.9646	0.3126	0.3199	0.4081	-0.2074	0.3972	0.212	0.3923	0.0662	-0.1826	0.015	-3.9863	0.2036	0.1645	0.3599	0.2423	0.4081	-1.3115	-2.7745	0.1202	0.2507	0.015	-5.6418	0.2425	-0.7181	0.2721	0.4112	0.5078	-0.1968	-5.6418	0.3861	0.5534	-0.0911	0.1484	0.0561	0.1202	0.2507	0.2827	0.5528	0.5401	0.3933	-0.0631	0.3825	0.29	0.2408	0.2827	0.15	0.0839
HPGD	-0.4262	2.513	2.6539	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	1.3577	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	1.7859	-0.4262	-0.4262	-0.4262	-0.4262	0.841	-0.4262	0.841	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	2.7067	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	0.4987	2.614	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	0.4987	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262	-0.4262
PRTG	0.4692	-1.2414	1.0572	0.9588	-1.2414	-0.0771	-0.6378	0.7019	1.0782	0.1602	-1.2414	1.0517	1.0157	-1.2414	-0.6378	-1.2414	0.7085	-1.2414	0.9726	0.857	-1.2414	0.9588	-1.2414	-1.2414	-0.6378	-1.2414	-0.2847	-1.2414	-1.2414	1.0546	0.9005	0.8441	1.0082	1.0331	-1.2414	-1.2414	-1.2414	0.6743	0.5841	-0.6378	-1.2414	0.8502	0.7586	-1.2414	1.0337	-1.2414	1.0351	-0.6605	-1.2414	-1.2414	0.1064	0.9574	0.9906	1.022	0.7584	1.0577	-1.2414	0.6743	0.7903	1.0231	0.984	-1.2414	-0.6378	-1.2414	-1.2414	0.1602	0.0333	0.1753	1.0577	0.4078	-1.2414	-1.2414	-0.2847	-0.6378	-1.2414	-0.0341	-0.6378	-1.2414	0.9624	1.0817	-0.6378	-1.2414	0.935	-0.0771	-0.0771	-1.2414	-1.2414	-1.2414	-0.2847	0.9683	1.0443	-1.2414	-0.0771	-1.2414	0.4533	0.9694	0.2023	0.9683	-1.2414	-1.2414
SNRPN	0.5952	0.713	0.2613	-5.0019	0.6423	0.4526	0.4684	0.5936	-0.1376	-0.9947	0.0774	0.1772	-0.073	0.2739	0.5325	0.5241	-4.2331	0.4487	0.5356	0.1809	0.3692	0.2471	0.6134	0.5236	0.3009	0.2475	0.6016	0.5564	0.5101	0.1652	0.6042	0.7811	-0.3945	0.2776	-0.0226	-0.1923	0.2475	0.3615	0.5425	-0.104	-0.1368	0.5446	0.4023	0.0834	-0.468	0.4928	0.265	-7.079	0.587	0.0992	0.4175	0.314	-1.6597	0.0913	0.4537	-0.5856	0.2499	0.3615	0.5714	-0.9716	-0.1328	-0.5627	0.3009	-0.1485	0.3976	0.488	0.5909	0.0306	-0.5856	-0.8016	0.0151	0.3616	0.6016	0.3009	-0.2017	0.4662	-0.4831	0.3389	-0.6927	0.3372	0.1718	-0.7076	-0.6184	0.3571	0.2955	0.3719	0.0375	0.3616	0.6016	-0.4721	0.2175	0.631	0.7617	0.4208	0.5155	-0.3266	-1.2676	-0.4721	-0.3518	0.1289
MSH2	0.6067	0.7143	0.4917	-2.2858	0.7006	0.6053	0.6692	0.7247	0.572	-2.2858	0.5074	0.6786	0.509	0.6448	0.7176	0.7772	0.2642	0.6777	0.6482	0.4147	0.5878	-0.13	0.6773	0.6545	0.6222	0.427	0.4116	0.6478	0.6693	0.7503	-2.2858	0.6449	0.4273	0.5642	0.358	-1.4702	0.427	0.7079	0.5824	0.4268	-2.2858	0.2887	0.524	0.3484	0.3457	0.6874	-0.6058	-2.2858	0.7279	-2.2858	0.6603	-2.2858	0.0416	0.5385	0.7278	0.61	0.5165	0.7079	0.6671	0.1028	0.2696	-2.2858	0.6222	0.4812	0.507	0.5364	0.5815	0.4811	0.61	-0.9932	-2.2858	0.587	0.4116	0.6222	0.4432	-0.4649	0.4176	-2.2858	0.4992	0.5126	0.362	-2.2858	0.1506	0.2722	0.5494	-2.2858	0.424	0.587	0.4116	0.2596	0.3115	0.7311	0.742	0.6683	0.6695	0.3471	0.3296	0.2596	-0.2729	0.4463
SERPINB2	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	5.2455	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	3.1941	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	4.7666	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	-0.2159	3.4867	-0.2159
